product,rating,rating count,price,product url
BIC 751766084321 Cristal Xtra Smooth Pens Blue Medium Point. 10-Pack  ,4.7 out of 5 stars,"1,837  ",4.46,https://amazon.com/BIC-751766084321-Cristal-Smooth-10-Pack/dp/B01NCHKY12/ref=sr_1_1?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-1
"BIC 4-Color Ball Pen, Medium Point (1.0mm), Assorted Ink, 3-Count  ",4.7 out of 5 stars,"1,637  ",7.03,https://amazon.com/BIC-4-Color-Medium-Assorted-3-Count/dp/B010DS301E/ref=sr_1_2?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-2
"BIC Cristal Xtra Bold Fashion Ballpoint Pen, Bold Point (1.6mm), Assorted Colors, 24-Count (MSBAPP241-A-AST)  ",4.7 out of 5 stars,"25,260  ",7.49,https://amazon.com/BIC-MSBAPP241-Ballpoint-Assorted-24-Count/dp/B075CGYY5P/ref=sr_1_3?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-3
"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Blue, 10-Count  ",4.8 out of 5 stars,"1,437  ",1.59,https://amazon.com/BIC-Round-Ballpoint-Medium-10-Count/dp/B00004YTPX/ref=sr_1_4?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-4
"BIC Xtra-Sparkle Mechanical Pencil, Medium Point (0.7mm), Fun Design With Colorful Barrel, 15-Count  ",4.8 out of 5 stars,"1,771  ",6.99,https://amazon.com/BIC-Sparkle-Mechanical-Colorful-15-Count/dp/B015HJGBHE/ref=sr_1_5?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-5
"BIC Clic Stic Retractable Ballpoint Pen, 1 mm Medium Tip, Black, Pack of 60  ",4.5 out of 5 stars,43  ,27.07,https://amazon.com/BIC-Retractable-Ballpoint-Medium-Black/dp/B083H2T2ZS/ref=sr_1_7?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-7
"Amazon Basics Felt Tip Marker Pens - Assorted Color, 12-Pack  ",4.7 out of 5 stars,"29,657  ",8.56,https://amazon.com/AmazonBasics-Felt-Tip-Pens-Assorted/dp/B078WJM15Y/ref=sr_1_8?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-8
"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 60-Count  ",4.7 out of 5 stars,392  ,5.99,https://amazon.com/BIC-Round-Ballpoint-Medium-60-Count/dp/B01HGYGTYI/ref=sr_1_9?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-9
"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, Flexible Round Barrel For Writing Comfort, 60-Count (Packaging May Vary)  ",4.7 out of 5 stars,"30,749  ",5.99,https://amazon.com/BIC-Round-Ballpoint-Medium-60-Count/dp/B0012YVGOW/ref=sr_1_10?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-10
"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, Flexible Round Barrel For Writing Comfort, 144-Count  ",4.8 out of 5 stars,"8,678  ",12.0,https://amazon.com/BIC-Round-Ballpoint-Medium-144-Count/dp/B06WGMTMVM/ref=sr_1_12?keywords=stylo+bic&qid=1665251422&qu=eyJxc2MiOiIxLjkxIiwicXNhIjoiMS41NyIsInFzcCI6IjEuNjkifQ%3D%3D&sr=8-12
