product,rating,rating count,price,product url
Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket  ,4.5 out of 5 stars,"20,602  ",41.2,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06228081XQ9VR4YI8XBC&url=%2FAmazon-Essentials-Lightweight-Water-Resistant-Packable%2Fdp%2FB07BN7B6D2%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_atf
MOERDENG Women's Waterproof Ski Jacket Warm Winter Snow Coat Mountain Windbreaker Hooded Raincoat Jacket  ,4.5 out of 5 stars,"25,623  ",69.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0359451F6KO2LZ9DTJG&url=%2FMOERDENG-Waterproof-Mountain-Windbreaker-Raincoat%2Fdp%2FB07W7D7FD9%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_atf
Pooluly Men's Ski Jacket Warm Winter Waterproof Windbreaker Hooded Raincoat Snowboarding Jackets  ,4.6 out of 5 stars,"4,773  ",42.49,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0672549338D93L78N3JW&url=%2FPooluly-Waterproof-Windbreaker-Raincoat-Snowboarding%2Fdp%2FB08GK3L7L9%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-3-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_atf
Little Beauty Hoodies for Men Zip Up Sweashirts Fleece Sherpa Lined Winter Wool Heavyweight Jacket  ,4.5 out of 5 stars,"2,736  ",42.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A085633716E7PPXFB5BTU&url=%2FLittle-Beauty-Winter-Heavyweight-Sweatshirt%2Fdp%2FB08CBZCL54%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-4-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_atf
Wrangler Authentics Men's Long Sleeve Quilted Lined Flannel Shirt Jacket with Hood  ,4.6 out of 5 stars,4.6 out of 5 stars ,30.93,https://amazon.com/Wrangler-Authentics-Quilted-Flannel-Eclipse/dp/B01L7B4V28/ref=sr_1_5?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-5
Men Coat With Fur Hood Warm Quilted Puffer Coat Men Big And Tall Hooded Windbreaker for Men  ,4.0 out of 5 stars,1  ,64.97,https://amazon.com/Flannel-Hooded-Jackets-Detachable-Quilted/dp/B09NMFKGS7/ref=sr_1_omk_6?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-6
MOERDENG Men's Waterproof Ski Jacket Warm Winter Snow Coat Mountain Windbreaker Hooded Raincoat  ,4.6 out of 5 stars,"19,200  ",64.99,https://amazon.com/MOERDENG-Waterproof-Mountain-Windbreaker-Raincoat/dp/B07W3PHZHN/ref=sr_1_7?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-7
Carhartt Men's Loose Fit Firm Duck Insulated Flannel-Lined Active Jacket  ,4.7 out of 5 stars,"18,003  ",109.99,https://amazon.com/Carhartt-Quilted-Flannel-Active-Jacket/dp/B00TEQ4476/ref=sr_1_8?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-8
Pooluly Men's Ski Jacket Warm Winter Waterproof Windbreaker Hooded Raincoat Snowboarding Jackets  ,4.6 out of 5 stars,"4,773  ",54.99,https://amazon.com/Pooluly-Waterproof-Windbreaker-Raincoat-Snowboarding/dp/B08GK2KW3F/ref=sr_1_9?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-9
Columbia Women's Heavenly Hooded Jacket  ,4.8 out of 5 stars,"3,347  ",69.0,https://amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01N0LESK4/ref=sr_1_11?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-11
